algorithm,variant,n,mean_energy,std_energy,mean_duration,std_duration,trials,ga_energy,ratio
Factorial,Iterative,100,2.6691265258233656e-07,1.3242668857976626e-08,0.0296893919362142,0.0014824927898902,30,1.1100533762817864e-07,0.41588638288301444
Factorial,Iterative,250,7.73336280908552e-07,3.273617291739372e-08,0.0857762047632907,0.003632069241074,30,3.207076989205258e-07,0.4147066507001886
Factorial,Iterative,500,2.433523202304328e-06,1.963483983684605e-08,0.2696784136690742,0.0021744233746524,30,1.008297624440483e-06,0.4143365567608789
Factorial,Iterative,750,6.182547997350748e-06,1.660523192908998e-07,0.6849544429676219,0.0183912362620643,30,2.56096855620672e-06,0.4142254224801987
Factorial,Iterative,900,8.62208504319925e-06,5.5703323137689626e-08,0.955181915164576,0.0061679260328588,30,3.5713190494764425e-06,0.41420596428625506
Factorial,Memoized,100,7.999557445206543e-07,4.2452504368994336e-08,0.0887306761733876,0.0047071181516392,30,3.31754139248277e-07,0.41471561585831124
Factorial,Memoized,250,2.6682328278494185e-06,2.5207252700772638e-08,0.2956755059974966,0.0027914924012748,30,1.1054978640906403e-06,0.4143183655309667
Factorial,Memoized,500,6.771903421866025e-06,1.4335744537027606e-07,0.750236876832787,0.015880566029363,30,2.805052322824809e-06,0.41421918596291285
Factorial,Memoized,750,1.2985803230792414e-05,1.046649369125769e-07,1.438594717036661,0.0115951047694439,30,5.378745803142628e-06,0.4142020102682865
Factorial,Memoized,900,1.6878224939083104e-05,1.1552040203553993e-07,1.8697518019316095,0.0127951019281219,30,6.990794237222074e-06,0.41419013329027493
Factorial,Tail_Recursive,100,4.190733021251044e-07,2.9254010986133097e-08,0.0465385391309003,0.0032505522622265,30,1.740024268616439e-07,0.4152076163747115
Factorial,Tail_Recursive,250,1.6401835110203442e-06,4.5917308798926617e-08,0.1818057275687654,0.0050867527809034,30,6.797514147432174e-07,0.4144361958134488
Factorial,Tail_Recursive,500,4.839567888909557e-06,4.645645355913363e-08,0.5361956319354552,0.0051460814464944,30,2.0047758905142297e-06,0.41424687834391394
Factorial,Tail_Recursive,750,1.0160191486585835e-05,6.709062256378642e-08,1.125601162733316,0.0074429350523904,30,4.20849768066401e-06,0.4142144059214189
Factorial,Tail_Recursive,900,1.4415580729248042e-05,6.752310453157568e-07,1.5969827837999522,0.0747962031079748,30,5.970941186096489e-06,0.4142005305399826
Factorial,Unoptimized_Recursive,100,3.6587672091897093e-07,2.9772142176735184e-08,0.0406535411670726,0.0033024062939173,30,1.5199907336355478e-07,0.41543794582442795
Factorial,Unoptimized_Recursive,250,1.524356974638337e-06,1.0115482087064374e-07,0.1689862623005562,0.0112043885440638,30,6.318208584904129e-07,0.41448352912238046
Factorial,Unoptimized_Recursive,500,4.3117948480694735e-06,3.44386896188281e-08,0.4777402811644909,0.0038166857578072,30,1.7862178290205688e-06,0.4142631762316602
Factorial,Unoptimized_Recursive,750,9.381216896204865e-06,1.385296102889325e-07,1.039316699533568,0.0153512638039115,30,3.88588965992273e-06,0.4142202128910112
Factorial,Unoptimized_Recursive,900,1.2549810067282833e-05,6.559076074539541e-07,1.3903045907975562,0.0726558269219631,30,5.198194386704196e-06,0.4142050245250971
Fib,Iterative,10,6.264334326125983e-09,1.0409862372110015e-09,0.0011702106343969,0.0003245613659063,30,4.375287538606188e-09,0.6984441300264975
Fib,Iterative,15,6.0235776577933906e-09,1.7636493573021089e-10,0.0010860749326335,2.859953274303173e-05,30,4.060713498124142e-09,0.6741364897770236
Fib,Iterative,20,6.419167544933131e-09,6.319966272052641e-10,0.0011409812674779,9.362855717249508e-05,30,4.266002183403482e-09,0.6645724937917821
Fib,Iterative,25,6.212001763169946e-09,4.5752146494791083e-10,0.0011013278698858,6.872707188342897e-05,30,4.117742535739686e-09,0.662868861395562
Fib,Iterative,30,6.140296403221631e-09,3.3844973448238e-10,0.0011000180335637,4.157613028968773e-05,30,4.112845203268724e-09,0.6698121610401147
Fib,Iterative,35,6.1016527285607515e-09,1.8013623701198208e-10,0.0010918363327315,2.54908175499874e-05,30,4.082254732934997e-09,0.6690408180437225
Fib,Memoized,10,6.181332079938362e-09,5.924076354802886e-10,0.0010913253315568,9.244049596488977e-05,30,4.0803441563207034e-09,0.6601075793296307
Fib,Memoized,15,6.530156400306926e-09,3.0276839338087586e-10,0.0011383950370751,3.456245906347436e-05,30,4.256332555286346e-09,0.6517964187023596
Fib,Memoized,20,6.725106714266413e-09,3.6770512013456914e-10,0.0011601003013007,4.949448579624813e-05,30,4.33748612652984e-09,0.6449691151113549
Fib,Memoized,25,6.613304160257232e-09,2.835512625414082e-10,0.00114579583557,3.177471606531752e-05,30,4.2840033185478336e-09,0.6477856174062925
Fib,Memoized,30,6.692952055918458e-09,6.333522598285874e-10,0.0011495742975966,0.0001014139534317,30,4.298130568236176e-09,0.6421875627265873
Fib,Memoized,35,6.8603553167863375e-09,7.703070082945988e-10,0.0011608572667076,0.0001212727652051,30,4.3403163360789716e-09,0.6326664051144435
Fib,Tail_Recursive,10,6.157953297655762e-09,2.9266071596112057e-10,0.0011081874312366,6.163287969556361e-05,30,4.143389673456844e-09,0.6728517533632755
Fib,Tail_Recursive,15,5.917018300991643e-09,5.434653855232349e-10,0.001070199900035,0.0001007304091746,30,4.001358515130862e-09,0.6762457561539513
Fib,Tail_Recursive,20,6.08140806502046e-09,2.5684156279582755e-10,0.0010915098333497,3.099114676771288e-05,30,4.081033988024157e-09,0.6710672831671636
Fib,Tail_Recursive,25,6.206890830071643e-09,5.051233251348678e-10,0.0011075780678462,7.07231980369394e-05,30,4.141111331447181e-09,0.6671796628650197
Fib,Tail_Recursive,30,6.145722915486355e-09,3.4226151340650085e-10,0.0010978051383668,5.129731594004862e-05,30,4.104571434004759e-09,0.667874469846634
Fib,Tail_Recursive,35,6.048577381281777e-09,7.385737851785063e-10,0.0010760837651711,0.0001226017900105,30,4.023357633111946e-09,0.6651742020467201
Fib,Unoptimized_Recursive,10,6.208299797705237e-09,2.4464732911524165e-10,0.0011108894017524,4.231770967001766e-05,30,4.153492040996474e-09,0.6690224661076648
Fib,Unoptimized_Recursive,15,7.54424671497502e-09,1.8749450640321404e-10,0.0012539961685736,2.368468741574657e-05,30,4.688552341389072e-09,0.621473888450982
Fib,Unoptimized_Recursive,20,2.1706803279947192e-08,1.9525305836254766e-09,0.0027577313022144,0.0002431684364435,30,1.0310850924390508e-08,0.4750054990324486
Fib,Unoptimized_Recursive,25,1.1611520478052425e-07,1.1189598326318944e-08,0.0130356871649079,0.0013339082803703,30,4.873898589990565e-08,0.41974680225582767
Fib,Unoptimized_Recursive,30,1.0819955020519114e-06,3.1070049143042694e-08,0.1199478380333554,0.0034368907723683,30,4.484716388691566e-07,0.4144856776379095
Fib,Unoptimized_Recursive,35,1.0683453647039571e-05,7.850694194775198e-08,1.1835508818660552,0.0087013926870249,30,4.42516524164364e-06,0.4142073703731444
Hanoi,Iterative,15,1.0511707218904998e-07,5.326710908607873e-09,0.0117818446296344,0.0006040301010879,30,4.405100797635529e-08,0.4190661617470742
Hanoi,Iterative,18,6.71719729757401e-07,2.2792650479165376e-08,0.074517087000034,0.0025289661008611,30,2.786111086167938e-07,0.4147728528346447
Hanoi,Iterative,20,2.550840236279462e-06,4.83967340034784e-08,0.2826784159677724,0.0053599460898695,30,1.0569031885906157e-06,0.41433531334450246
Hanoi,Iterative,22,1.0072979108480029e-05,1.4789910649910573e-07,1.1159464693017072,0.0163846078524418,30,4.172399854666939e-06,0.41421706624551285
Hanoi,Recursive,15,4.636127620566792e-08,1.63838529906769e-09,0.005273368898391,0.000189382090278,30,1.9716540381206353e-08,0.42528036315781786
Hanoi,Recursive,18,3.229369424183527e-07,2.4744815187271915e-08,0.0358971286642675,0.00275456017242,30,1.342153755058446e-07,0.41560861541809485
Hanoi,Recursive,20,1.1082335457319492e-06,2.5614755241663343e-08,0.1228721489014181,0.0028404246179617,30,4.5940531228141325e-07,0.4145383561530726
Hanoi,Recursive,22,4.276543416616968e-06,3.54391119322264e-08,0.4738325679344901,0.0039252584649007,30,1.7716073234439548e-06,0.41426150768402925
