algorithm,variant,n,mean_energy,std_energy,mean_duration,std_duration,trials
Factorial,Iterative,100,2.6691265258233656e-07,1.3242668857976626e-08,0.02968939193621428,0.0014824927898902374,30
Factorial,Iterative,250,7.73336280908552e-07,3.273617291739372e-08,0.08577620476329074,0.003632069241074001,30
Factorial,Iterative,500,2.433523202304328e-06,1.9634839836846054e-08,0.26967841366907425,0.0021744233746524874,30
Factorial,Iterative,750,6.182547997350748e-06,1.660523192908998e-07,0.6849544429676219,0.018391236262064303,30
Factorial,Iterative,900,8.62208504319925e-06,5.570332313768962e-08,0.955181915164576,0.006167926032858846,30
Factorial,Memoized,100,7.999557445206543e-07,4.2452504368994336e-08,0.08873067617338767,0.004707118151639288,30
Factorial,Memoized,250,2.6682328278494185e-06,2.5207252700772634e-08,0.29567550599749665,0.0027914924012748055,30
Factorial,Memoized,500,6.771903421866025e-06,1.4335744537027606e-07,0.750236876832787,0.01588056602936307,30
Factorial,Memoized,750,1.2985803230792414e-05,1.046649369125769e-07,1.438594717036661,0.011595104769443913,30
Factorial,Memoized,900,1.6878224939083104e-05,1.1552040203553993e-07,1.8697518019316097,0.012795101928121937,30
Factorial,Tail_Recursive,100,4.190733021251044e-07,2.9254010986133097e-08,0.046538539130900315,0.003250552262226544,30
Factorial,Tail_Recursive,250,1.6401835110203442e-06,4.5917308798926617e-08,0.18180572756876545,0.005086752780903419,30
Factorial,Tail_Recursive,500,4.839567888909557e-06,4.645645355913363e-08,0.5361956319354552,0.005146081446494438,30
Factorial,Tail_Recursive,750,1.0160191486585837e-05,6.709062256378642e-08,1.125601162733316,0.007442935052390407,30
Factorial,Tail_Recursive,900,1.4415580729248042e-05,6.752310453157568e-07,1.5969827837999522,0.07479620310797488,30
Factorial,Unoptimized_Recursive,100,3.6587672091897093e-07,2.9772142176735184e-08,0.04065354116707261,0.003302406293917382,30
Factorial,Unoptimized_Recursive,250,1.5243569746383367e-06,1.0115482087064374e-07,0.1689862623005562,0.011204388544063854,30
Factorial,Unoptimized_Recursive,500,4.3117948480694735e-06,3.44386896188281e-08,0.4777402811644909,0.0038166857578072226,30
Factorial,Unoptimized_Recursive,750,9.381216896204865e-06,1.385296102889325e-07,1.039316699533568,0.015351263803911509,30
Factorial,Unoptimized_Recursive,900,1.2549810067282831e-05,6.559076074539541e-07,1.3903045907975562,0.07265582692196317,30
Fib,Iterative,10,6.264334326125983e-09,1.0409862372110015e-09,0.0011702106343969834,0.0003245613659063883,30
Fib,Iterative,15,6.02357765779339e-09,1.763649357302109e-10,0.0010860749326335299,2.859953274303173e-05,30
Fib,Iterative,20,6.41916754493313e-09,6.319966272052641e-10,0.0011409812674779533,9.362855717249508e-05,30
Fib,Iterative,25,6.212001763169946e-09,4.575214649479109e-10,0.00110132786988586,6.872707188342897e-05,30
Fib,Iterative,30,6.140296403221631e-09,3.3844973448237996e-10,0.00110001803356373,4.157613028968773e-05,30
Fib,Iterative,35,6.1016527285607515e-09,1.8013623701198208e-10,0.0010918363327315202,2.54908175499874e-05,30
Fib,Memoized,10,6.181332079938362e-09,5.924076354802887e-10,0.0010913253315568765,9.244049596488975e-05,30
Fib,Memoized,15,6.530156400306926e-09,3.027683933808759e-10,0.0011383950370751432,3.456245906347436e-05,30
Fib,Memoized,20,6.725106714266413e-09,3.677051201345692e-10,0.00116010030130075,4.949448579624813e-05,30
Fib,Memoized,25,6.613304160257232e-09,2.8355126254140826e-10,0.00114579583557007,3.177471606531752e-05,30
Fib,Memoized,30,6.692952055918458e-09,6.333522598285875e-10,0.0011495742975966567,0.00010141395343170572,30
Fib,Memoized,35,6.860355316786337e-09,7.703070082945988e-10,0.0011608572667076032,0.00012127276520518727,30
Fib,Tail_Recursive,10,6.157953297655762e-09,2.926607159611206e-10,0.0011081874312366799,6.163287969556361e-05,30
Fib,Tail_Recursive,15,5.917018300991643e-09,5.434653855232349e-10,0.0010701999000350766,0.00010073040917462877,30
Fib,Tail_Recursive,20,6.08140806502046e-09,2.5684156279582755e-10,0.0010915098333497966,3.099114676771288e-05,30
Fib,Tail_Recursive,25,6.206890830071643e-09,5.051233251348678e-10,0.00110757806784624,7.07231980369394e-05,30
Fib,Tail_Recursive,30,6.145722915486355e-09,3.422615134065009e-10,0.0010978051383668667,5.129731594004862e-05,30
Fib,Tail_Recursive,35,6.048577381281777e-09,7.385737851785063e-10,0.0010760837651711099,0.0001226017900105061,30
Fib,Unoptimized_Recursive,10,6.208299797705237e-09,2.4464732911524165e-10,0.0011108894017524535,4.231770967001766e-05,30
Fib,Unoptimized_Recursive,15,7.54424671497502e-09,1.8749450640321404e-10,0.0012539961685736469,2.3684687415746574e-05,30
Fib,Unoptimized_Recursive,20,2.170680327994719e-08,1.9525305836254766e-09,0.0027577313022144234,0.0002431684364435345,30
Fib,Unoptimized_Recursive,25,1.1611520478052425e-07,1.1189598326318944e-08,0.013035687164907913,0.0013339082803703098,30
Fib,Unoptimized_Recursive,30,1.0819955020519114e-06,3.107004914304269e-08,0.11994783803335542,0.003436890772368311,30
Fib,Unoptimized_Recursive,35,1.0683453647039573e-05,7.850694194775198e-08,1.1835508818660552,0.008701392687024963,30
Hanoi,Iterative,15,1.0511707218904998e-07,5.326710908607873e-09,0.01178184462963444,0.0006040301010879113,30
Hanoi,Iterative,18,6.71719729757401e-07,2.2792650479165376e-08,0.07451708700003408,0.0025289661008611234,30
Hanoi,Iterative,20,2.550840236279462e-06,4.8396734003478395e-08,0.2826784159677724,0.0053599460898695805,30
Hanoi,Iterative,22,1.0072979108480029e-05,1.4789910649910573e-07,1.1159464693017072,0.01638460785244187,30
Hanoi,Recursive,15,4.6361276205667914e-08,1.6383852990676902e-09,0.0052733688983910565,0.00018938209027805132,30
Hanoi,Recursive,18,3.229369424183527e-07,2.4744815187271915e-08,0.03589712866426751,0.002754560172420039,30
Hanoi,Recursive,20,1.1082335457319492e-06,2.561475524166334e-08,0.12287214890141812,0.0028404246179617935,30
Hanoi,Recursive,22,4.276543416616968e-06,3.54391119322264e-08,0.47383256793449013,0.00392525846490078,30
